iter	MAE	RMSE
166	0.4298418286	0.5521083328
167	0.4297769556	0.5520346609
168	0.4296801197	0.551951871
169	0.4296405361	0.5518922165
170	0.4295277503	0.5517685661
171	0.4294496252	0.5516874854
172	0.4293254129	0.5515797625
173	0.4292770334	0.5515107971
174	0.42919437	0.5514170651
175	0.4291288926	0.5513262861
176	0.4290432813	0.5512468853
177	0.4289923524	0.5511889731
178	0.428878931	0.5510695476
179	0.4287883598	0.5509857679
180	0.4286653967	0.5508439981
181	0.4285966771	0.5507605157
182	0.428493192	0.5506412462
183	0.4283454429	0.5505060035
184	0.4282967876	0.5504363206
185	0.4282392273	0.5503599797
186	0.4281206555	0.5501775478
187	0.4280459576	0.5500908775
188	0.4279681168	0.550000882
189	0.4279020957	0.5499243925
190	0.4278235894	0.5498398245
191	0.4277052838	0.5496689439
192	0.4276602697	0.5496222317
193	0.4275645239	0.5495240469
194	0.4274804792	0.5494114381
195	0.4274114538	0.5493401529
196	0.4273698317	0.5492890352
197	0.4272815107	0.5492092913
198	0.4272352394	0.5491498743
199	0.4271664012	0.5490593455
